,Restaurant#,Restaurant Name,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,price
4082,RESTPUNE4083,Hotel Vithal Pure Veg," Katraj, Pune",3.4,7,3.7,175,500
4083,RESTPUNE4084,The Secret Grill," Magarpatta, Pune",3.4,7,3.9,19,450
4084,RESTPUNE4085,Creamy'Nuts," Kondhwa, Pune",3.4,7,0.0,9,350
4085,RESTPUNE4086,Tasty Treats," Viman Nagar, Pune",3.4,7,3.9,13,250
4086,RESTPUNE4087,Cafe Ashoka," Pashan, Pune",3.4,7,0.0,2,400
4087,RESTPUNE4088,SK Biryani And Caterers," Chandan Nagar, Pune",3.4,7,0.0,25,200
4088,RESTPUNE4089,The Mad Hatter," Wanowrie, Pune",3.4,7,0.0,1,250
4089,RESTPUNE4090,The Coffee Point," Wagholi, Pune",3.4,7,3.6,66,100
4090,RESTPUNE4091,Chintamani Bhel," Budhwar Peth, Pune",3.4,7,0.0,4,150
4091,RESTPUNE4092,Flavours@99," Kondhwa, Pune",3.4,7,0.0,5,600
4092,RESTPUNE4093,Annapurna Rasoi," Rasta Peth, Pune",3.3,7,3.9,25,400
4093,RESTPUNE4094,The Daily Baker Cakes & Icecream," Bhosari, Pune",3.3,7,4.0,105,400
4094,RESTPUNE4095,24K Restaurant," Hadapsar, Pune",3.3,7,0.0,23,700
4095,RESTPUNE4096,Radhakrishn Family Restaurant  Veg Non-Veg," Hadapsar, Pune",3.3,7,0.0,12,500
4096,RESTPUNE4097,Ajinkya Executive," Wakad, Pune",3.3,7,0.0,4,700
4097,RESTPUNE4098,Yash Restaurant," Wadgaon Sheri, Pune",3.3,7,0.0,6,300
4098,RESTPUNE4099,Nashta Point," Akurdi, Pune",3.3,7,4.1,274,300
4099,RESTPUNE4100,Kiga Ice Cream," Hadapsar, Pune",3.3,7,3.7,90,200
4100,RESTPUNE4101,Godse Pure Veg," Kondhwa, Pune",3.3,7,0.0,0,500
4101,RESTPUNE4102,Hotel Rajdhani," Chinchwad, Pune",3.3,7,0.0,12,550
4102,RESTPUNE4103,Hotel Shri Yash," Bhosari, Pune",3.3,7,3.9,34,500
4103,RESTPUNE4104,The Grand Cafe," Chinchwad, Pune",3.3,7,0.0,0,300
4104,RESTPUNE4105,Sachin Restaurant," Hadapsar, Pune",3.3,7,3.9,45,350
4105,RESTPUNE4106,Koal Tales," Hinjawadi, Pune",3.3,7,3.9,22,500
4106,RESTPUNE4107,Cafe Up To U," Warje, Pune",3.3,7,0.0,5,400
4107,RESTPUNE4108,Chai Ke Diwane," Pimple Gurav, Pune",3.3,7,3.5,102,300
4108,RESTPUNE4109,Sip and Snacks( Bakery Cafe)," Fatima Nagar, Pune",3.3,7,3.9,17,300
4109,RESTPUNE4110,Inside Cafe," Sinhgad Road, Pune",3.3,7,0.0,3,300
4110,RESTPUNE4111,The Magic Bottle," Kharadi, Pune",3.2,7,0.0,7,450
4111,RESTPUNE4112,Hotel Bade Miya Chhote Miya," Pimpri, Pune",3.2,7,0.0,3,350
4112,RESTPUNE4113,Krushnai Snacks," Hadapsar, Pune",3.2,7,3.7,80,300
4113,RESTPUNE4114,Arebian Shawarma," Dehu Road, Pune",3.2,7,0.0,19,200
4114,RESTPUNE4115,Shahi Darbar," Camp Area, Pune",3.2,7,0.0,1,500
4115,RESTPUNE4116,Bhole's Rock And Rolls," Katraj, Pune",3.2,7,3.9,78,300
4116,RESTPUNE4117,Arambha Hotel," Akurdi, Pune",3.2,7,3.9,104,200
4117,RESTPUNE4118,Cafe Punjab," Pimpri, Pune",3.2,7,3.2,51,500
4118,RESTPUNE4119,Krishna Bhel," Tilak Road, Pune",3.2,7,3.7,61,200
4119,RESTPUNE4120,Hotel Rasik Veg & Nonveg," Deccan Gymkhana, Pune",3.2,7,0.0,3,500
4120,RESTPUNE4121,Hotel Rayba," Hadapsar, Pune",3.2,7,3.8,53,600
4121,RESTPUNE4122,Jay Ganesh Sabudana Vada," Sadashiv Peth, Pune",3.2,7,3.9,50,300
4122,RESTPUNE4123,Café De Conta," NIBM Road, Pune",3.2,7,3.8,31,600
4123,RESTPUNE4124,Hotel Sinhagad," Sinhgad Road, Pune",3.2,7,3.3,20,600
4124,RESTPUNE4125,A1 Chikki," Lonavala, Pune",3.2,7,0.0,4,300
4125,RESTPUNE4126,Carnival Pizza King," Akurdi, Pune",3.2,7,3.8,326,350
4126,RESTPUNE4127,The Maha-Irani Cafe," Kothrud, Pune",3.2,7,0.0,6,300
4127,RESTPUNE4128,Chopstick Chinese Fast Food," Bhosari, Pune",3.2,7,3.6,137,300
4128,RESTPUNE4129,China Bowl," Dhankawadi, Pune",3.2,7,3.8,196,200
4129,RESTPUNE4130,Abhi's Corner," Sadashiv Peth, Pune",3.2,7,3.9,19,200
4130,RESTPUNE4131,Cafe Katta Kharadi," Wadgaon Sheri, Pune",3.2,7,3.0,26,300
4131,RESTPUNE4132,Shree Ram Kitchen," Parvati, Pune",3.2,7,3.9,35,400
4132,RESTPUNE4133,Cafe Creamy Nuts," Dange Chowk, Pune",3.2,7,3.9,15,300
4133,RESTPUNE4134,Cake Magic," Wagholi, Pune",3.2,7,0.0,3,300
4134,RESTPUNE4135,Chinese Corner," Budhwar Peth, Pune",3.2,7,0.0,2,350
4135,RESTPUNE4136,The Fresh Cakes," Vishrantwadi, Pune",3.2,7,3.9,16,300
4136,RESTPUNE4137,Morya Chinese," Kothrud, Pune",3.2,7,0.0,8,500
4137,RESTPUNE4138,Crown," Khadki, Pune",3.2,7,0.0,0,300
4138,RESTPUNE4139,Hotel Great India," Hadapsar, Pune",3.2,7,3.4,186,250
4139,RESTPUNE4140,Slice One," Viman Nagar, Pune",3.2,7,3.9,30,500
4140,RESTPUNE4141,Coffee All Day," Karve Nagar, Pune",3.2,7,3.9,15,400
4141,RESTPUNE4142,Rolls Way," Wadgaon Sheri, Pune",3.2,7,3.9,32,200
4142,RESTPUNE4143,Morya," Deccan Gymkhana, Pune",3.2,7,0.0,2,200
4143,RESTPUNE4144,Hariom Hotel," Karve Nagar, Pune",3.2,7,0.0,10,300
